Product_Name,Category,Brand,Previous_Price,Current_Price,Growth_Rate,Future_Price,Date,Location,Discount,Quantity
Silver Ring 20g,Silver,Kalyan,5375.33,5959.83,0.1087,8122.24,2025-10-06,Pune,24.9,102
Smart Watch,Electronics,Apple,107179.21,97626.93,-0.0891,73787.32,2023-10-07,Lucknow,24.9,170
Pain Relief Gel 30g,Medicine,Himalaya,585.58,437.64,-0.2526,182.72,2023-01-12,Lucknow,28.4,175
Bus Volvo AC,Travel Tickets,RedBus,20182.11,20987.97,0.0399,23601.8,2025-12-30,Jaipur,13.4,267
Train AC 2-Tier,Travel Tickets,IRCTC,2461.5,2511.3,0.0202,2666.58,2023-10-16,Chennai,28.2,185
Realme GT 5 Pro,Mobiles,Realme,126617.71,126903.8,0.0023,127781.45,2025-07-02,Bangalore,22.3,244
HP Pavilion 15,Laptops,HP,50743.07,49239.07,-0.0296,44994.79,2025-07-31,Hyderabad,4.7,136
Engineering Textbook,Books,Pearson,2763.12,3158.36,0.143,4716.29,2023-07-29,Ahmedabad,0.4,393
"Monitor 27"" 165Hz",Computer Components,LG,13054.67,11679.29,-0.1054,8361.86,2023-02-08,Ahmedabad,10.7,54
"Tablet 10""",Electronics,Xiaomi,91775.26,104075.41,0.134,151770.48,2024-08-08,Pune,26.3,307
Projector HD,Electronics,Epson,16092.51,15065.54,-0.0638,12362.05,2023-04-10,Delhi,17.3,330
Wireless Earbuds,Electronics,JBL,49871.91,53603.2,0.0748,66553.93,2025-09-03,Ahmedabad,13.9,223
Aviation Fuel 1L,Fuel,IOCL,256.41,275.94,0.0762,343.95,2024-09-27,Hyderabad,2.8,189
Competitive Exam Guide,Books,Arihant,471.91,522.97,0.1082,711.76,2024-04-02,Jaipur,4.1,99
Sedan Car,Vehicles,Maruti Suzuki,2196551.07,2878820.72,0.3106,6480747.64,2023-10-14,Kolkata,2.8,140
LPG Cylinder 14.2kg,Fuel,Indane,955.49,900.62,-0.0574,754.26,2023-12-20,Bangalore,17.8,95
Silver Chain 50g,Silver,MMTC-PAMP,54264.92,53879.79,-0.0071,52740.28,2024-04-17,Delhi,3.8,495
Diesel 1L,Fuel,Bharat Petroleum,1021.0,1232.72,0.2074,2169.79,2024-01-10,Delhi,9.3,91
Hatchback Car,Vehicles,Tata Motors,142285.47,154619.55,0.0867,198423.64,2025-05-01,Hyderabad,20.8,318
Motorcycle 150cc,Vehicles,Royal Enfield,1116053.76,1103874.74,-0.0109,1068170.06,2024-10-17,Chennai,28.4,152
Refrigerator 300L,Home Appliances,Samsung,11634.55,12267.96,0.0544,14380.98,2023-09-16,Bangalore,28.7,408
Art & Design Book,Books,Phaidon,2750.14,2595.86,-0.0561,2183.03,2025-04-30,Delhi,0.5,24
Microwave Oven 25L,Home Appliances,IFB,39408.34,43380.57,0.1008,57865.61,2025-12-19,Hyderabad,2.4,57
Fiction Novel,Books,Penguin,707.33,634.01,-0.1037,456.52,2025-05-05,Lucknow,15.4,70
Flight Domestic,Travel Tickets,IndiGo,30575.53,30888.58,0.0102,31843.44,2023-06-07,Hyderabad,19.3,394
Motorcycle 150cc,Vehicles,Royal Enfield,248039.44,283392.74,0.1425,422627.1,2024-11-11,Mumbai,2.9,269
Vitamin D3 60tabs,Medicine,Dr Reddys,221.94,287.44,0.2951,624.39,2025-01-30,Delhi,15.3,192
Onion 1kg,Fruits and Vegetables,BigBasket,55.8,72.83,0.3052,161.94,2023-08-18,Jaipur,7.9,11
Aviation Fuel 1L,Fuel,IOCL,649.85,719.07,0.1065,974.15,2023-03-14,Delhi,23.6,44
Ethnic Dress,Clothing,Biba,14806.65,14334.45,-0.0319,13005.94,2024-01-05,Delhi,7.9,41
HP Spectre x360,Laptops,HP,133639.61,130830.03,-0.021,122759.61,2025-04-25,Hyderabad,21.5,449
Motorcycle 150cc,Vehicles,Royal Enfield,1701879.99,1646225.42,-0.0327,1489954.02,2023-09-26,Delhi,24.3,407
Denim Jeans,Clothing,Levis,5872.44,6561.97,0.1174,9155.04,2024-11-06,Ahmedabad,16.8,393
Reference Manual,Books,McGraw Hill,2965.42,3288.5,0.1089,4484.1,2025-02-08,Hyderabad,12.7,291
Lenovo ThinkPad X1,Laptops,Lenovo,72218.44,74069.68,0.0256,79905.1,2025-12-21,Delhi,18.6,442
Silver Bangle 40g,Silver,Joyalukkas,15737.07,17742.82,0.1275,25431.52,2024-04-26,Bangalore,20.6,104
Bluetooth Speaker,Electronics,Sony,6863.5,6724.5,-0.0203,6323.23,2025-03-08,Delhi,5.1,403
Programming Guide,Books,OReilly,3483.81,4096.91,0.176,6663.13,2024-02-18,Jaipur,5.6,252
Multivitamin 30tabs,Medicine,Abbott,299.75,244.12,-0.1856,131.86,2023-07-25,Pune,24.8,258
Casual T-Shirt,Clothing,H&M,9484.89,9369.36,-0.0122,9030.61,2025-10-28,Jaipur,19.5,233
Winter Jacket,Clothing,Woodland,6404.12,8023.7,0.2529,15780.61,2024-08-17,Mumbai,7.1,171
Electric Scooter,Vehicles,Ather,660218.92,648816.69,-0.0173,615722.3,2024-08-18,Hyderabad,18.0,140
Denim Jeans,Clothing,Levis,2129.86,1576.29,-0.2599,639.01,2025-12-02,Kolkata,29.4,409
Aviation Fuel 1L,Fuel,IOCL,466.75,521.35,0.117,726.59,2025-09-20,Bangalore,26.1,247
Gold Chain 10g,Gold,PC Jeweller,93680.55,116389.06,0.2424,223201.18,2025-10-01,Bangalore,15.0,436
HP Spectre x360,Laptops,HP,240366.09,222101.66,-0.076,175213.56,2023-11-26,Jaipur,8.6,499
Bandage Roll 5m,Medicine,Johnson & Johnson,176.93,238.43,0.3476,583.5,2024-03-22,Bangalore,9.3,269
Dell XPS 15,Laptops,Dell,71134.66,65290.27,-0.0822,50476.89,2023-12-22,Jaipur,3.6,21
Power Supply 750W,Computer Components,Cooler Master,10644.22,9815.23,-0.0779,7695.46,2025-03-22,Bangalore,3.1,289
Dishwasher,Home Appliances,Bosch,67603.49,71027.28,0.0506,82363.99,2024-11-10,Pune,20.7,77
Carrot 1kg,Fruits and Vegetables,Star Bazaar,170.12,166.74,-0.0199,156.98,2025-05-02,Hyderabad,23.0,234
Ferry Ticket,Travel Tickets,Govt Ferry,21247.47,17386.51,-0.1817,9526.87,2024-04-21,Delhi,21.1,246
"Tablet 10""",Electronics,Xiaomi,49324.26,54922.1,0.1135,75825.94,2023-10-18,Mumbai,2.9,441
Gold 24K 10g,Gold,Tanishq,76528.86,92068.17,0.2031,160329.96,2023-11-21,Mumbai,23.4,427
Silver Anklet 30g,Silver,Senco,22432.48,24806.69,0.1058,33542.74,2023-08-20,Ahmedabad,4.8,143
Engineering Textbook,Books,Pearson,3399.02,2762.32,-0.1873,1482.74,2023-05-17,Kolkata,0.8,450
Electric Car,Vehicles,MG Motors,1027959.12,996914.07,-0.0302,909293.87,2025-11-15,Hyderabad,15.4,201
Power Supply 750W,Computer Components,Cooler Master,57364.98,74904.86,0.3058,166778.47,2024-05-08,Ahmedabad,3.2,215
Competitive Exam Guide,Books,Arihant,3461.42,3322.85,-0.04,2939.85,2025-12-03,Kolkata,6.1,462
iPhone 15 Pro,Mobiles,Apple,135095.99,147032.9,0.0884,189574.59,2025-12-23,Chennai,0.5,3
Diesel 1L,Fuel,Bharat Petroleum,139.16,132.93,-0.0448,115.85,2025-03-12,Ahmedabad,4.5,173
Banana 1dz,Fruits and Vegetables,Reliance Fresh,320.98,337.75,0.0522,393.45,2025-01-03,Bangalore,8.4,360
Multivitamin 30tabs,Medicine,Abbott,674.21,818.58,0.2141,1464.96,2023-10-09,Jaipur,27.1,86
Silver Ring 20g,Silver,Kalyan,43861.41,42961.49,-0.0205,40373.15,2023-01-08,Jaipur,11.8,215
Compact SUV,Vehicles,Hyundai,2436958.12,2649204.53,0.0871,3403486.06,2023-10-21,Ahmedabad,10.4,87
Aviation Fuel 1L,Fuel,IOCL,881.99,1020.13,0.1566,1578.36,2025-11-02,Delhi,30.0,79
Compact SUV,Vehicles,Hyundai,2268191.47,2349260.2,0.0357,2609955.18,2025-04-06,Pune,10.1,384
Silver Anklet 30g,Silver,Senco,41856.58,46260.27,0.1052,62449.76,2025-02-20,Chennai,1.5,7
Aviation Fuel 1L,Fuel,IOCL,913.5,766.29,-0.1611,452.4,2023-01-02,Kolkata,22.6,308
Engineering Textbook,Books,Pearson,3072.82,3639.93,0.1846,6050.74,2023-10-12,Bangalore,13.8,392
Motorcycle 150cc,Vehicles,Royal Enfield,2101413.26,2875840.83,0.3685,7370539.03,2024-03-28,Hyderabad,1.6,203
Gold Chain 10g,Gold,PC Jeweller,79349.34,99050.09,0.2483,192668.97,2023-11-18,Hyderabad,9.8,112
Multivitamin 30tabs,Medicine,Abbott,339.47,367.23,0.0818,464.92,2025-12-07,Chennai,14.3,180
Gold Chain 10g,Gold,PC Jeweller,41471.08,36726.06,-0.1144,25508.63,2024-07-28,Lucknow,26.7,458
Gaming Console,Electronics,PlayStation,21594.5,24109.58,0.1165,33555.66,2025-06-09,Hyderabad,25.0,197
Spinach 500g,Fruits and Vegetables,More Supermarket,136.7,175.38,0.283,370.39,2025-10-24,Jaipur,9.7,268
Premium Tea 500g,Grocery,Tata Tea,394.05,497.52,0.2626,1001.4,2024-04-04,Mumbai,22.4,61
Silver Coin 100g,Silver,Malabar Gold,24377.44,27893.35,0.1442,41783.66,2023-05-18,Mumbai,4.6,192
"Tablet 10""",Electronics,Xiaomi,133203.88,105162.74,-0.2105,51750.95,2024-01-13,Ahmedabad,19.1,45
Gold 24K 10g,Gold,Tanishq,131900.6,130502.84,-0.0106,126396.68,2025-08-06,Ahmedabad,20.0,88
Cough Syrup 100ml,Medicine,Sun Pharma,573.35,663.05,0.1564,1025.35,2023-07-12,Bangalore,15.1,41
SSD NVMe 512GB,Computer Components,Samsung,57929.35,53868.83,-0.0701,43315.79,2025-05-31,Jaipur,7.2,63
Kurta Set,Clothing,Manyavar,7710.24,7439.92,-0.0351,6683.67,2023-12-28,Bangalore,10.1,297
RAM DDR5 16GB,Computer Components,Corsair,27092.45,28962.75,0.069,35381.23,2023-09-06,Ahmedabad,23.5,166
Kerosene 1L,Fuel,BPCL,411.66,406.79,-0.0118,392.56,2025-03-11,Lucknow,22.6,472
Bus Volvo AC,Travel Tickets,RedBus,1926.78,1987.31,0.0314,2180.45,2024-06-28,Chennai,9.9,190
LPG Cylinder 14.2kg,Fuel,Indane,589.18,745.53,0.2654,1510.6,2023-08-17,Chennai,1.1,199
Refrigerator 300L,Home Appliances,Samsung,57931.56,72292.03,0.2479,140484.94,2024-08-19,Jaipur,11.6,455
Kurta Set,Clothing,Manyavar,9180.7,7848.84,-0.1451,4904.01,2024-02-09,Mumbai,27.2,370
Aviation Fuel 1L,Fuel,IOCL,564.49,604.05,0.0701,740.19,2024-02-15,Lucknow,27.8,458
Casual T-Shirt,Clothing,H&M,5484.5,5105.23,-0.0692,4117.03,2025-08-06,Jaipur,23.2,387
Kerosene 1L,Fuel,BPCL,1044.41,1456.91,0.395,3955.08,2023-11-09,Chennai,23.2,106
Gold 22K 10g,Gold,Malabar Gold,127276.63,137412.87,0.0796,172908.38,2023-08-27,Delhi,11.5,228
Vitamin D3 60tabs,Medicine,Dr Reddys,295.96,339.24,0.1462,510.84,2024-09-07,Kolkata,20.3,486
Silver Bangle 40g,Silver,Joyalukkas,41910.28,37575.32,-0.1034,27083.13,2025-07-25,Pune,28.0,440
Art & Design Book,Books,Phaidon,660.21,850.76,0.2886,1820.38,2025-11-26,Kolkata,17.5,67
Silver Anklet 30g,Silver,Senco,53024.6,64382.31,0.2142,115249.02,2025-08-28,Kolkata,25.0,381
Power Supply 750W,Computer Components,Cooler Master,44463.89,41851.07,-0.0588,34894.13,2023-10-06,Pune,4.3,104
Tomato 1kg,Fruits and Vegetables,Local Market,333.79,347.57,0.0413,392.44,2025-06-16,Jaipur,4.7,156
Gold Ring 5g,Gold,Senco Gold,92015.0,102847.1,0.1177,143604.42,2025-10-30,Lucknow,13.5,76
Nothing Phone 2,Mobiles,Nothing,98490.66,98957.16,0.0047,100359.02,2024-07-16,Ahmedabad,2.3,147
Kurta Set,Clothing,Manyavar,12584.21,9525.5,-0.2431,4130.51,2023-03-19,Bangalore,18.2,307
Gold 22K 10g,Gold,Malabar Gold,36199.86,53718.97,0.484,175561.54,2025-04-30,Delhi,13.0,359
Silver Anklet 30g,Silver,Senco,57081.17,69116.58,0.2108,122687.26,2025-12-05,Kolkata,27.1,88
Silver Chain 50g,Silver,MMTC-PAMP,92351.03,107918.03,0.1686,172223.2,2024-11-30,Mumbai,18.3,295
Reference Manual,Books,McGraw Hill,3061.9,2732.12,-0.1077,1941.03,2025-05-27,Hyderabad,14.7,403
Microwave Oven 25L,Home Appliances,IFB,48711.79,51263.22,0.0524,59751.44,2023-11-21,Pune,3.9,308
Formal Shirt,Clothing,Raymond,3463.21,3109.2,-0.1022,2250.03,2025-07-01,Mumbai,8.0,98
Wireless Earbuds,Electronics,JBL,142619.4,140902.53,-0.012,135890.67,2025-08-31,Ahmedabad,13.7,383
Petrol 1L,Fuel,Indian Oil,393.48,351.81,-0.1059,251.46,2024-01-20,Chennai,20.8,276
Graphics Card RTX 4060,Computer Components,NVIDIA,34882.18,40119.86,0.1502,61049.13,2023-05-14,Delhi,22.2,147
LPG Cylinder 14.2kg,Fuel,Indane,556.3,641.08,0.1524,981.12,2023-12-03,Mumbai,10.3,471
Reference Manual,Books,McGraw Hill,2520.0,2981.2,0.183,4935.66,2025-07-31,Bangalore,21.6,182
Onion 1kg,Fruits and Vegetables,BigBasket,337.9,353.7,0.0468,405.72,2024-10-02,Lucknow,17.1,313
Gold Ring 5g,Gold,Senco Gold,110358.21,146785.65,0.3301,345411.25,2025-05-21,Lucknow,15.8,398
iPhone 15 Pro,Mobiles,Apple,143235.71,170838.39,0.1927,289853.89,2023-01-03,Pune,25.5,373
Kurta Set,Clothing,Manyavar,9623.47,12361.2,0.2845,26197.69,2024-10-30,Delhi,4.7,375
Antacid Syrup 200ml,Medicine,Dabur,64.67,67.34,0.0413,76.03,2025-05-05,Bangalore,25.5,209
Gold 22K 10g,Gold,Malabar Gold,121988.87,203591.57,0.6689,946347.71,2024-04-01,Kolkata,23.4,398
OnePlus 12,Mobiles,OnePlus,138510.09,124652.92,-0.1,90871.98,2024-09-27,Pune,3.9,363
Winter Jacket,Clothing,Woodland,10348.46,9675.76,-0.065,7908.97,2025-12-09,Lucknow,12.0,450
Water Purifier RO,Home Appliances,Kent,52153.31,56961.42,0.0922,74214.25,2024-02-02,Delhi,15.6,363
Mountain Bicycle,Vehicles,Hero Cycles,2309567.07,2570226.51,0.1129,3542744.45,2025-04-07,Mumbai,20.0,476
Silver Coin 100g,Silver,Malabar Gold,79083.02,98030.61,0.2396,186726.69,2024-02-14,Pune,1.2,8
Train AC 2-Tier,Travel Tickets,IRCTC,5051.87,4987.58,-0.0127,4799.96,2024-09-22,Jaipur,29.1,81
Electric Car,Vehicles,MG Motors,1318674.8,1406524.26,0.0666,1706679.47,2025-11-14,Kolkata,10.5,257
Pain Relief Gel 30g,Medicine,Himalaya,784.64,1019.51,0.2993,2236.25,2024-05-05,Pune,28.0,123
Carrot 1kg,Fruits and Vegetables,Star Bazaar,270.75,223.6,-0.1741,125.97,2023-10-28,Bangalore,20.4,306
Pain Relief Gel 30g,Medicine,Himalaya,45.55,54.14,0.1886,90.91,2025-02-19,Bangalore,22.2,263
Denim Jeans,Clothing,Levis,14451.28,15300.1,0.0587,18155.7,2024-05-27,Pune,20.3,460
Sugar 5kg,Grocery,Trust,883.7,935.24,0.0583,1108.54,2023-02-20,Pune,23.1,229
HP Spectre x360,Laptops,HP,116969.74,158728.65,0.357,396638.5,2024-02-06,Jaipur,18.5,377
ASUS ROG Strix,Laptops,ASUS,109201.52,150865.25,0.3815,397779.03,2025-07-15,Ahmedabad,28.8,1
Science Encyclopedia,Books,DK Publishing,652.27,655.86,0.0055,666.74,2024-07-03,Ahmedabad,18.3,123
Kurta Set,Clothing,Manyavar,3647.16,3701.57,0.0149,3869.51,2024-06-12,Bangalore,4.5,484
Xiaomi 14,Mobiles,Xiaomi,107259.38,115542.27,0.0772,144420.86,2024-08-27,Hyderabad,18.4,113
Science Encyclopedia,Books,DK Publishing,1510.85,1720.53,0.1388,2541.0,2024-02-27,Lucknow,19.4,184
Sport Shoes,Clothing,Nike,14258.96,15636.85,0.0966,20620.25,2023-02-17,Pune,3.1,396
Bus Non-AC,Travel Tickets,KSRTC,34318.25,41769.14,0.2171,75306.82,2024-07-01,Jaipur,14.3,86
Processor i7 14th Gen,Computer Components,Intel,14574.11,15276.39,0.0482,17593.54,2025-11-04,Ahmedabad,11.5,356
Power Supply 750W,Computer Components,Cooler Master,43160.68,53914.95,0.2492,105100.59,2024-01-04,Lucknow,5.7,376
HP Pavilion 15,Laptops,HP,59724.93,65772.53,0.1013,87853.98,2024-01-26,Delhi,24.5,357
Wheat Flour 10kg,Grocery,Aashirvaad,1335.78,1552.1,0.1619,2434.59,2025-09-07,Bangalore,8.1,22
Sports Bike 300cc,Vehicles,Kawasaki,2343655.88,2485165.61,0.0604,2963224.07,2025-06-05,Lucknow,20.9,440
Spinach 500g,Fruits and Vegetables,More Supermarket,236.75,272.49,0.151,415.51,2024-08-23,Kolkata,13.0,393
Mountain Bicycle,Vehicles,Hero Cycles,1846565.09,1979677.94,0.0721,2439497.81,2023-06-29,Jaipur,12.4,331
Silver Bar 1kg,Silver,Tanishq,51133.38,64386.58,0.2592,128552.2,2024-06-20,Jaipur,16.1,200
Formal Shirt,Clothing,Raymond,1493.48,2048.06,0.3713,5281.29,2024-08-25,Hyderabad,25.7,49
Air Conditioner 1.5T,Home Appliances,Whirlpool,58767.81,63015.05,0.0723,77695.02,2023-01-04,Delhi,15.8,79
Toor Dal 2kg,Grocery,Tata,452.25,420.7,-0.0698,338.61,2024-02-04,Jaipur,11.8,68
Mango 1kg,Fruits and Vegetables,DMart,311.28,380.89,0.2236,697.78,2024-03-21,Delhi,10.8,425
Petrol 1L,Fuel,Indian Oil,830.02,776.43,-0.0646,635.47,2023-01-13,Pune,0.1,30
Silver Chain 50g,Silver,MMTC-PAMP,72266.62,80026.26,0.1074,108679.11,2023-09-16,Ahmedabad,20.0,94
Gold Coin 5g,Gold,Kalyan Jewellers,133667.34,122890.03,-0.0806,95505.89,2025-02-15,Ahmedabad,25.0,170
Flight Domestic,Travel Tickets,IndiGo,14021.3,12278.36,-0.1243,8245.3,2023-03-05,Mumbai,25.9,168
Gold 22K 10g,Gold,Malabar Gold,136621.49,158453.73,0.1598,247201.89,2023-01-25,Chennai,20.7,297
Xiaomi 14,Mobiles,Xiaomi,119497.03,130443.58,0.0916,169673.22,2023-02-24,Kolkata,6.2,311
Silver Coin 100g,Silver,Malabar Gold,4630.89,4753.6,0.0265,5141.61,2024-05-24,Chennai,9.3,150
Pain Relief Gel 30g,Medicine,Himalaya,280.98,260.13,-0.0742,206.42,2024-01-30,Chennai,29.3,252
ASUS ROG Strix,Laptops,ASUS,73057.25,105239.87,0.4405,314572.02,2023-06-21,Jaipur,25.5,347
Casual T-Shirt,Clothing,H&M,11834.77,10992.29,-0.0712,8807.54,2024-03-15,Kolkata,15.6,85
Compact SUV,Vehicles,Hyundai,1690502.32,1893567.67,0.1201,2661038.89,2023-02-25,Jaipur,24.1,476
Banana 1dz,Fruits and Vegetables,Reliance Fresh,246.27,268.32,0.0895,347.0,2025-06-18,Hyderabad,25.1,330
Programming Guide,Books,OReilly,372.07,475.28,0.2774,990.67,2025-11-18,Lucknow,18.8,257
Hatchback Car,Vehicles,Tata Motors,1560616.14,1764084.73,0.1304,2548096.59,2024-06-19,Hyderabad,0.3,23
Graphics Card RTX 4060,Computer Components,NVIDIA,11527.36,12601.66,0.0932,16463.67,2023-11-21,Ahmedabad,28.6,382
Flight Domestic,Travel Tickets,IndiGo,6991.33,8381.95,0.1989,14444.22,2023-07-24,Ahmedabad,7.7,463
Bus Volvo AC,Travel Tickets,RedBus,36833.86,42357.71,0.15,64420.78,2023-05-07,Chennai,22.8,278
Silver Chain 50g,Silver,MMTC-PAMP,17424.1,15906.34,-0.0871,12101.52,2024-12-10,Bangalore,21.4,161
LPG Cylinder 14.2kg,Fuel,Indane,91.72,106.91,0.1656,169.3,2024-04-15,Lucknow,26.7,432
Winter Jacket,Clothing,Woodland,8611.4,11037.85,0.2818,23245.84,2023-07-04,Kolkata,5.2,362
Vacuum Cleaner,Home Appliances,Dyson,76647.87,73094.1,-0.0464,63384.21,2024-08-17,Hyderabad,9.6,337
Graphics Card RTX 4060,Computer Components,NVIDIA,46224.7,64893.39,0.4039,179559.75,2023-01-02,Kolkata,8.8,54
Gold Chain 10g,Gold,PC Jeweller,135240.2,124920.47,-0.0763,98452.43,2023-02-03,Delhi,3.1,459
Tomato 1kg,Fruits and Vegetables,Local Market,118.95,130.11,0.0938,170.26,2025-09-23,Lucknow,14.2,319
Silver Bangle 40g,Silver,Joyalukkas,92620.69,111294.85,0.2016,193087.8,2024-12-09,Lucknow,0.5,341
Art & Design Book,Books,Phaidon,3286.57,3253.34,-0.0101,3155.76,2024-06-20,Chennai,9.8,461
Science Encyclopedia,Books,DK Publishing,338.81,369.26,0.0899,478.07,2024-08-02,Lucknow,2.8,277
Hatchback Car,Vehicles,Tata Motors,2109125.93,2321932.4,0.1009,3098083.99,2023-02-11,Delhi,24.6,196
Wheat Flour 10kg,Grocery,Aashirvaad,773.18,719.02,-0.07,578.35,2023-11-04,Mumbai,17.6,196
Formal Shirt,Clothing,Raymond,7570.29,6479.37,-0.1441,4062.58,2023-09-05,Delhi,29.7,62
Pain Relief Gel 30g,Medicine,Himalaya,47.07,50.25,0.0676,61.15,2024-08-30,Lucknow,20.1,347
Winter Jacket,Clothing,Woodland,12657.09,17906.3,0.4147,50698.94,2024-10-05,Delhi,1.4,378
Petrol 1L,Fuel,Indian Oil,392.68,385.33,-0.0187,364.11,2024-12-19,Delhi,10.2,291
Sugar 5kg,Grocery,Trust,190.26,188.02,-0.0118,181.44,2024-07-23,Lucknow,28.4,414
Carrot 1kg,Fruits and Vegetables,Star Bazaar,237.83,229.73,-0.0341,207.02,2025-12-30,Chennai,11.7,223
Gold Chain 10g,Gold,PC Jeweller,91772.18,85144.95,-0.0722,68002.05,2023-01-27,Mumbai,11.9,220
Air Conditioner 1.5T,Home Appliances,Whirlpool,57327.45,64420.84,0.1237,91406.59,2023-08-22,Chennai,19.3,7
Train Sleeper,Travel Tickets,IRCTC,40231.59,46630.31,0.159,72596.99,2024-03-19,Pune,0.5,198
Pain Relief Gel 30g,Medicine,Himalaya,267.81,264.4,-0.0127,254.45,2025-08-21,Chennai,25.5,76
Iodized Salt 1kg,Grocery,Catch,396.57,454.26,0.1455,682.79,2025-12-17,Lucknow,1.3,230
Toor Dal 2kg,Grocery,Tata,280.22,328.5,0.1723,529.24,2024-12-16,Pune,14.4,275
Realme GT 5 Pro,Mobiles,Realme,69936.46,83493.32,0.1938,142051.71,2024-11-29,Bangalore,11.1,370
Motherboard Z790,Computer Components,ASUS,20137.92,19309.29,-0.0411,17024.97,2023-02-19,Jaipur,15.0,285
Flight Domestic,Travel Tickets,IndiGo,43918.0,54234.28,0.2349,102133.74,2023-11-12,Jaipur,11.9,69
Realme GT 5 Pro,Mobiles,Realme,60511.57,65280.13,0.0788,81960.35,2025-05-29,Hyderabad,23.7,127
Electric Car,Vehicles,MG Motors,645759.61,688203.96,0.0657,832956.01,2023-07-14,Mumbai,25.9,459
Silver Coin 100g,Silver,Malabar Gold,93908.59,100517.16,0.0704,123275.99,2025-12-27,Jaipur,17.5,479
Water Purifier RO,Home Appliances,Kent,76747.87,85746.46,0.1172,119566.35,2025-02-17,Jaipur,25.7,380
Washing Machine 7kg,Home Appliances,LG,60103.05,66838.88,0.1121,91930.73,2025-06-26,Hyderabad,24.3,138
Silver Bangle 40g,Silver,Joyalukkas,49031.5,62855.14,0.2819,132404.65,2023-08-06,Lucknow,8.8,79
Carrot 1kg,Fruits and Vegetables,Star Bazaar,78.07,81.43,0.043,92.39,2024-05-23,Pune,12.4,150
Train Sleeper,Travel Tickets,IRCTC,10788.98,11065.45,0.0256,11937.22,2023-01-03,Chennai,3.6,274
Silk Saree,Clothing,Fabindia,2642.2,2956.13,0.1188,4139.81,2025-05-07,Kolkata,4.6,316
Samsung Galaxy S24,Mobiles,Samsung,23820.09,26122.03,0.0966,34447.02,2025-09-22,Delhi,29.3,273
Silver Coin 100g,Silver,Malabar Gold,3553.87,4750.83,0.3368,11349.29,2024-02-09,Kolkata,12.2,226
Diesel 1L,Fuel,Bharat Petroleum,1059.63,961.89,-0.0922,719.61,2025-08-26,Pune,14.3,393
Gold Bangle 20g,Gold,Joyalukkas,68625.46,71895.45,0.0476,82658.57,2025-06-21,Mumbai,24.6,70
Vacuum Cleaner,Home Appliances,Dyson,71883.3,78306.05,0.0893,101213.36,2025-06-04,Chennai,9.5,5
Compact SUV,Vehicles,Hyundai,1072632.76,1078427.58,0.0054,1095992.62,2023-12-27,Hyderabad,28.2,306
Basmati Rice 5kg,Grocery,India Gate,211.33,200.4,-0.0517,170.9,2025-11-21,Hyderabad,17.8,497
Sedan Car,Vehicles,Maruti Suzuki,130000.17,134556.15,0.035,149184.81,2024-06-06,Hyderabad,15.8,433
Sedan Car,Vehicles,Maruti Suzuki,1006344.82,1222225.51,0.2145,2189494.72,2024-02-27,Lucknow,24.1,67
Silver Coin 100g,Silver,Malabar Gold,55549.0,61307.44,0.1037,82426.4,2025-01-16,Bangalore,2.7,29
Silver Bangle 40g,Silver,Joyalukkas,27620.17,30639.67,0.1093,41824.54,2023-12-27,Pune,26.7,259
Projector HD,Electronics,Epson,60152.06,59992.82,-0.0026,59526.09,2024-01-12,Pune,13.4,407
Acer Nitro 5,Laptops,Acer,203530.53,243028.11,0.1941,413788.68,2024-10-27,Ahmedabad,14.6,34
Petrol 1L,Fuel,Indian Oil,383.01,462.74,0.2082,816.12,2023-09-30,Chennai,12.6,100
Basmati Rice 5kg,Grocery,India Gate,434.46,412.77,-0.0499,354.01,2023-08-08,Hyderabad,17.8,421
Bus Non-AC,Travel Tickets,KSRTC,16675.92,16664.3,-0.0007,16629.33,2025-01-11,Kolkata,12.9,33
Bus Volvo AC,Travel Tickets,RedBus,8898.75,5682.11,-0.3615,1479.08,2023-04-16,Jaipur,14.8,386
Bandage Roll 5m,Medicine,Johnson & Johnson,523.3,560.66,0.0714,689.53,2024-03-04,Bangalore,1.0,39
Graphics Card RTX 4060,Computer Components,NVIDIA,6471.45,6685.64,0.0331,7371.74,2023-10-22,Delhi,11.7,425
Sport Shoes,Clothing,Nike,10608.4,14197.47,0.3383,34030.74,2023-11-23,Jaipur,6.9,72
Nothing Phone 2,Mobiles,Nothing,131511.58,156933.91,0.1933,266664.82,2024-09-28,Hyderabad,2.6,234
Sports Bike 300cc,Vehicles,Kawasaki,1624821.69,1296501.56,-0.2021,658595.01,2025-01-08,Hyderabad,18.6,481
Electric Car,Vehicles,MG Motors,2227373.74,2613826.08,0.1735,4224020.03,2025-12-18,Ahmedabad,26.1,58
Acer Nitro 5,Laptops,Acer,120571.77,167987.37,0.3933,454370.93,2024-12-03,Hyderabad,14.6,341
Gold Chain 10g,Gold,PC Jeweller,66596.74,83614.19,0.2555,165474.14,2024-06-10,Kolkata,28.7,393
"Monitor 27"" 165Hz",Computer Components,LG,62842.52,84317.64,0.3417,203650.13,2023-08-12,Delhi,9.0,286
Graphics Card RTX 4060,Computer Components,NVIDIA,70313.41,62897.33,-0.1055,45016.66,2025-08-30,Bangalore,20.5,41
Motorcycle 150cc,Vehicles,Royal Enfield,255665.69,299340.31,0.1708,480411.45,2023-03-26,Pune,21.5,337
